"filename", "language", "Python", "HTML", "pip requirements", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"d:\Midum\jarvis_project\midum_pkg\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 8, 31
"d:\Midum\jarvis_project\midum_pkg\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 6, 21
"d:\Midum\jarvis_project\midum_pkg\.github\workflows\build-release.yml", "YAML", 0, 0, 0, 0, 0, 31, 15, 9, 55
"d:\Midum\jarvis_project\midum_pkg\README.md", "Markdown", 0, 0, 0, 243, 0, 0, 0, 54, 297
"d:\Midum\jarvis_project\midum_pkg\browser_cdp.py", "Python", 467, 0, 0, 0, 0, 0, 233, 37, 737
"d:\Midum\jarvis_project\midum_pkg\business.html", "HTML", 0, 115, 0, 0, 0, 0, 17, 13, 145
"d:\Midum\jarvis_project\midum_pkg\config.py", "Python", 200, 0, 0, 0, 0, 0, 293, 43, 536
"d:\Midum\jarvis_project\midum_pkg\context_summarizer.py", "Python", 159, 0, 0, 0, 0, 0, 65, 43, 267
"d:\Midum\jarvis_project\midum_pkg\flow_meta.json", "JSON", 0, 0, 0, 0, 211, 0, 0, 0, 211
"d:\Midum\jarvis_project\midum_pkg\flow_tools.py", "Python", 88, 0, 0, 0, 0, 0, 52, 22, 162
"d:\Midum\jarvis_project\midum_pkg\flows.py", "Python", 626, 0, 0, 0, 0, 0, 259, 120, 1005
"d:\Midum\jarvis_project\midum_pkg\gui\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Midum\jarvis_project\midum_pkg\gui\app.py", "Python", 6331, 0, 0, 0, 0, 0, 657, 502, 7490
"d:\Midum\jarvis_project\midum_pkg\gui\chat_store.py", "Python", 112, 0, 0, 0, 0, 0, 27, 19, 158
"d:\Midum\jarvis_project\midum_pkg\gui\dispatch.py", "Python", 76, 0, 0, 0, 0, 0, 31, 15, 122
"d:\Midum\jarvis_project\midum_pkg\gui\legacy\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Midum\jarvis_project\midum_pkg\gui\legacy\app.py", "Python", 2380, 0, 0, 0, 0, 0, 367, 420, 3167
